,Name,Price,Category,Lighting_Conditions,Longevity,Average_Height,Uses,Imagen
0,Jeffersonia diphylla,"$4.00
2+  $3.00
7+  $2.00
50+  $1.75",Dormant/Bareroot Plant,sh,HP (in USDA Zones 5 to 7),10 inches,M N O,http://companionplants.com/catalog/images/thumbs/6-14-09%20015.jpg
1,Achyranthes bidentata, $5.00 ,Potted Plants,PS-FS,HP (to zone 5),3 feet,M,http://companionplants.com/catalog/images/thumbs/07-30-14%20035.JPG
2,Achillea millefolium, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 10),2 feet,A E L M N,http://companionplants.com/catalog/images/thumbs/Achillea%20millefolium.JPG
3,Aconitum napellus, $8.75 ,Potted Plants,PS-FS,HP (zones 2 to 9),3 feet,M O,http://companionplants.com/catalog/images/thumbs/6-14-09%20027.jpg
4,Acorus calamus, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 11),5 feet,A C D L M N O,http://companionplants.com/catalog/images/thumbs/7-19-12%20011.jpg
5,Acorus gramineus 'Licorice', $5.00 ,Potted Plants,PS-FS,HP (zones 5 to 10),12 inches,A C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
6,Alchemilla vulgaris, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 8),12 inches,E M O,http://companionplants.com/catalog/images/thumbs/7-19-12%20005.jpg
7,Allium schoenoprasum, $4.85 ,Potted Plants,PS-FS,HP (zones 3 to 9),12 inches,C E O,http://companionplants.com/catalog/images/thumbs/6-25-09%20036.jpg
8,Allium senescens var 'glaucum', $5.00 ,Potted Plants,FS,HP (zones 3 to 9),6 inches,C O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
9,Allium tuberosum, $4.85 ,Potted Plants,FS,HP (zones 4 to 8),2 feet,C M O,http://companionplants.com/catalog/images/thumbs/08-20-14%20002.JPG
10,Aloe barbadensis, $5.00 ,Potted Plants,sh-PS,TP,12 inches,L M,http://companionplants.com/catalog/images/thumbs/Aloe%20vera.jpg
11,Aloysia triphylla, $5.00 ,Potted Plants,FS,TP (zones 8 to 11),10 feet,A C M R,http://companionplants.com/catalog/images/thumbs/7-19-12%20007.jpg
12,Alpinia galanga, $12.00 ,Potted Plants,PS-FS,TP,5 feet,A C M,http://companionplants.com/catalog/images/thumbs/Alpinia%20galanga.jpg
13,Althea officinalis, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 9),4 feet,H M,http://companionplants.com/catalog/images/thumbs/Althea%20officinalis.jpg
14,Agastache foeniculum, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 10),3 feet,C H M N O,http://companionplants.com/catalog/images/thumbs/7-21-12%20025.jpg
15,Agastache nepetoides, $5.00 ,Potted Plants,PS-FS,HP (zones 2 to 8),6 feet,H M N O,http://companionplants.com/catalog/images/thumbs/Agastache%20nepetoides.jpg
16,Agrimonia eupatoria, $5.00 ,Potted Plants,PS-FS,HP (zones 5 to 8),3 feet,D M O,http://companionplants.com/catalog/images/thumbs/July%2014%202012%20017.jpg
17,Allium schoenoprasum, $3.50 ,Seeds,PS-FS,HP (zones 3 to 9),12 inch,C E O,http://companionplants.com/catalog/images/thumbs/Chives.jpg
18,Allium tuberosum, $3.50 ,Seeds,FS,HP (in USDA Zones 4 to 8),2 feet,C M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
19,Althea officinalis, $3.50 ,Seeds,PS-FS,HP (in USDA Zones 3 to 9),4 feet,H M,http://companionplants.com/catalog/images/thumbs/Althea%20officinalis%202.jpg
20,Amaranthus cruentus x A powellii seeds, $3.50 ,Seeds,FS,A,4 feet,C D M O,http://companionplants.com/catalog/images/thumbs/7-15-09%20011.jpg
21,Amaranthus hypchondriacus seeds, $3.50 ,Seeds,FS,A,6 feet,C D M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
22,Amaranthus retroflexus seeds, $3.50 ,Seeds,FS,A,6 feet,C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
23,Ammi visnaga seeds, $3.50 ,Seeds,FS,HP-B (in USDA Zones 5 to 9),2 feet,M O,http://companionplants.com/catalog/images/thumbs/Ammi%20visnaga.jpg
24,Angelica archangelica Seed, $3.50 ,Seeds,PS,B (in USDA Zones 4 to 9),5 feet,A C M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
25,Angelica gigas, $5.00 ,Potted Plants,PS-FS,B (zones 4 to 9),4 feet,A C M O,http://companionplants.com/catalog/images/thumbs/08-20-14%20004.JPG
26,Anethum graveolens Seed, $3.50 ,Seeds,FS,A,3 feet,C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
27,Caulophyllum thalictroides,"$4.00
1+  $4.00
2+  $3.00
7+  $2.00
50+  $1.75",Dormant/Bareroot Plant,sh - PS,HP (in USDA Zones 3 to 8),30 inches,M N O,http://companionplants.com/catalog/images/thumbs/Blue%20Cohosh.jpg
28,Geranium maculatum,"$4.00
2+  $3.00
7+  $2.00
50+  $1.75",Dormant/Bareroot Plant,PS-FS,HP (in USDA Zones 4 to 9),2 feet,M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
29,Hydrastis canadensis,"$4.00
2+  $3.00
7+  $2.00
50+  $1.75",Dormant/Bareroot Plant,sh,HP (in USDA Zones 3 to 8),12 inches,D M N,http://companionplants.com/catalog/images/thumbs/Goldenseal.jpg
30,Panax quinquefolium seed, $3.50 ,Seeds,sh,HP (in USDA Zones 3 to 7),12 inches,M,http://companionplants.com/catalog/images/thumbs/Panax%20quinqiefolium.jpg
31,Podophyllum peltatum,"$4.00
2+  $3.00
7+  $2.00
50+  $1.75",Dormant/Bareroot Plant,sh-PS,HP (in USDA Zones 4 to 9),18 inches,M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
32,Polygonatum biflorum,"$4.00
2+  $3.00
7+  $2.00
50+  $1.75",Dormant/Bareroot Plant,sh-PS,HP (in USDA Zones 3 to 9),2 feet,M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
33,Sanguinaria canadensis,"$4.00
2+  $3.00
7+  $2.00
50+  $1.75",Dormant/Bareroot Plant,sh-PS,HP (in USDA Zones 3 to 9),10 inches,D M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
34,Asarum canadensis,"$4.00
1+  $4.00
2+  $3.00
7+  $2.00
50+  $1.75",Dormant/Bareroot Plant,sh-PS,HP (in USDA Zones 2 to 8),6 inches,A C M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
35,Arisaema triphyllum,"$4.00
1+  $4.00
2+  $3.00
7+  $2.00
50+  $1.75",Dormant/Bareroot Plant,sh,HP (in USDA Zones 4 to 9),2 feet,M N O,http://companionplants.com/catalog/images/thumbs/may%2029%202013%20007.jpg
36,Anthemis tinctoria, $4.85 ,Potted Plants,PS-FS,HP (zones 3 to 7),2 feet,D O,http://companionplants.com/catalog/images/thumbs/06-28-15%20002.JPG
37,Arcticum lappa Seed, $3.50 ,Seeds,PS-FS,B,6 FEET,B C M,http://companionplants.com/catalog/images/thumbs/Arcticum%20lappa.jpg
38,Arctostaphylos uvaursi, $8.00 ,Potted Plants,PS-FS,HP (zones 2 to 6),8 INCHES,M N O,http://companionplants.com/catalog/images/thumbs/7-19-09%20039.jpg
39,Arisaema triphyllum, $5.00 ,Potted Plants,sh,HP (zones 4 to 9),2 FEET,M N O,http://companionplants.com/catalog/images/thumbs/may%2029%202013%20007.jpg
40,Armoracia rusticana, $5.00 ,Potted Plants,FS,HP (zones 4 to 8),4 feet,C D M,http://companionplants.com/catalog/images/thumbs/7-19-12%20001.jpg
41,Arnica chamissonis, $5.00 ,Potted Plants,FS,HP (zones 3 to 9),2 feet,M O,http://companionplants.com/catalog/images/thumbs/6-14-09%20006.jpg
42,Artemisia abrotanum, $5.00 ,Potted Plants,FS,HP (zones 5 to 8),3 feet,A D M O R,http://companionplants.com/catalog/images/thumbs/7-15-09%20013.jpg
43,Artemisia abrotanum var, $5.00 ,Potted Plants,FS,HP (zones 5 to 8),6 feet,A O R,http://companionplants.com/catalog/images/thumbs/7-15-09%20014.jpg
44,Artemisia absinthum, $6.00 ,Potted Plants,PS-FS,HP (zones 4 to 8),4 feet,A B L M O R,http://companionplants.com/catalog/images/thumbs/Artemisia%20absinthum.jpg
45,Artemisia afra, $6.00 ,Potted Plants,FS,HP,4 feet,A M O R,http://companionplants.com/catalog/images/thumbs/7-19-09%20057.jpg
46,Artemisia ludoviciana, $5.00 ,Potted Plants,FS,HP (zones 3 to 9),4 feet,A E M N O R,http://companionplants.com/catalog/images/thumbs/7-19-12%20016.jpg
47,Artemisia vulgaris, $5.25 ,Potted Plants,PS,HP (zones 4 to 9),5 feet,L M,http://companionplants.com/catalog/images/thumbs/7-15-09%20008.jpg
48,Banisteriopsis caapi, $32.00 ,Potted Plants,PS-FS,TP,to 30 feet,L M,http://companionplants.com/catalog/images/thumbs/Banisteriopsis%20caapi.jpg
49,Calamintha officinalis Seed, $3.50 ,Seeds,PS-FS,HP(zones 5-9),18 INCHES,A C H M O,http://companionplants.com/catalog/images/thumbs/Calamintha%20sp..jpg
50,Calamintha sp Seed, $3.50 ,Seeds,PS-FS,HP,2 FEET,A C H M O,http://companionplants.com/catalog/images/thumbs/Calamintha%20sp..jpg
51,Calendula officinalis, $4.85 ,Potted Plants,PS-FS,A - HP,12 inches,C D H M O,http://companionplants.com/catalog/images/thumbs/7-19-09%20025.jpg
52,Campsis radicans, $5.00 ,Potted Plants,FS,HP (zones 5 to 9),to 20 feet,M N O,http://companionplants.com/catalog/images/Campsis%20radicans.jpg
53,Cassia hebecarpa Seed, $3.50 ,Seeds,FS,HP (zones 5-9),6 FEET,M N O,http://companionplants.com/catalog/images/thumbs/Cassia%20hebecarpa.jpg
54,Ceanothus americanus, $5.75 ,Potted Plants,FS,HP (zones 4 to 8),to 4 feet,B D M N O,http://companionplants.com/catalog/images/thumbs/Ceanothus%20americanus.jpg
55,Cedronella triphyllasyn canariensis, $5.75 ,Potted Plants,FS,TP,2 feet,A B C M,http://companionplants.com/catalog/images/thumbs/7-20-12%20010.jpg
56,Chasmanthium latifolium Seed, $3.50 ,Seeds,PS-FS,HP (zones 3-9),3 FEET,E N O,http://companionplants.com/catalog/images/thumbs/Chasmanthium%20latifolium.jpg
57,Chrysanthemum cinerariaefolium, $5.25 ,Potted Plants,FS,HP (zones 5 to 9),18 inches,M O R,http://companionplants.com/catalog/images/thumbs/6-25-09%20001.jpg
58,Chrysanthemum morifolium, $5.25 ,Potted Plants,PS-FS,HP (zones 5 - 9),3 feet,A M O,http://companionplants.com/catalog/images/thumbs/Chrysanthemum%20morifolium%20001.JPG
59,Chrysanthemum parthenium Seed, $3.50 ,Seeds,PS-FS,HP (zones 4-9),18 INCHES,M O R,http://companionplants.com/catalog/images/thumbs/Chrysanthemum%20parthenium.jpg
60,Cimicifuga racemosa, $5.00 ,Potted Plants,sh-PS,HP (zones 3 to 8),3 feet to 8 feet,M N O R,http://companionplants.com/catalog/images/thumbs/7-09-09%20008.jpg
61,Cinnamomum camphora, $6.00 ,Potted Plants,FS,TP,to 100 feet,A M O R,http://companionplants.com/catalog/images/thumbs/Cinnamomum%20camphora.JPG
62,Clinopodium vulgare Seed, $3.50 ,Seeds,PS-FS,HP (to zone 4),20 INCHES,C H M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
63,Codonopsis pilosula Seed, $3.50 ,Seeds,PS,HP,VINE,M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
64,Coffea arabica, $5.25 ,Potted Plants,PS-FS,TP,to 15 feet,C L O,http://companionplants.com/catalog/images/thumbs/7-19-09%20034.jpg
65,Coleus amboinicus var, $5.00 ,Potted Plants,PS-FS,TP,2 feet,A C M O,http://companionplants.com/catalog/images/plants%20039.jpg
66,Coleus sp, $5.00 ,Potted Plants,PS-FS,TP,2 feet,A C M O,http://companionplants.com/catalog/images/plants%20038.jpg
67,Conium maculatum, $6.00 ,Potted Plants,PS-FS,B (zones 3 to 9),to 10 feet,M,http://companionplants.com/catalog/images/thumbs/6-25-09%20046.jpg
68,Convallaria majalis, $5.00 ,Potted Plants,sh-PS,HP (zones 2 to 7,9 inches,A D M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
69,Crocus sativus, $6.00 ,Potted Plants,FS,HP (zones 5 to 8),6 inches,C D M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
70,Cunila origanoides, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 8),18 inches,A C M N O,http://companionplants.com/catalog/images/thumbs/Cunila%20origanoides.JPG
71,Curcuma domestica, $7.00 ,Potted Plants,PS,TP,to 5 feet,A C D M O,http://companionplants.com/catalog/images/thumbs/7-09-09%20016.jpg
72,Curcuma domestica, $7.00 ,Potted Plants,PS-FS,TP,to 5 feet,A C M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
73,Cymbopogan citratus, $5.25 ,Potted Plants,FS,TP,5 feet,A C M,http://companionplants.com/catalog/images/thumbs/7-19-09%20013.jpg
74,Cymbopogan marinii motia, $8.00 ,Potted Plants,FS,TP,6 feet,A M O R,http://companionplants.com/catalog/images/thumbs/7-19-09%20032.jpg
75,Cynara cardunculus Seed, $3.50 ,Seeds,FS,B (zones 7-9),4 FEET,D E M O,http://companionplants.com/catalog/images/thumbs/Cynara%20cardunculus%202.jpg
76,Datura inoxia, $5.00 ,Potted Plants,FS,A-TP,3 feet,L M O,http://companionplants.com/catalog/images/thumbs/plants%202%20010.jpg
77,Digitalis purpurea Seed, $3.50 ,Seeds,PS-FS,B (zones 4-8),4 FEET,L M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
78,Dioscorea batatas, $5.00 ,Potted Plants,PS-FS,HP (at least to zone 5),vine to 20 feet,C M O,http://companionplants.com/catalog/images/thumbs/7-09-09%20011.jpg
79,Dioscorea villosa, $6.00 ,Potted Plants,PS,HP (zones 4 to 7),to 20 feet,M N,http://companionplants.com/catalog/images/thumbs/may%2029%202013%20006.jpg
80,Dipsacus sativus 'Fullonum', $5.00 ,Potted Plants,FS,B (zones 5 to 8),6 feet,B E M O,http://companionplants.com/catalog/images/thumbs/6-14-09%20023.jpg
81,Echinacea angustifolia Seed, $3.50 ,Seeds,FS,HP (zones 4-9),18 INCHES,E M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
82,Echinacea pallida, $5.00 ,Potted Plants,FS,HP (zones 4 to 8),3 feet,B E M N O,http://companionplants.com/catalog/images/thumbs/Echinacea%20pallida.jpg
83,Elettaria cardamomum, $6.50 ,Potted Plants,PS-FS,TP,2 feet,C M,http://companionplants.com/catalog/images/thumbs/7-19-12%20013.jpg
84,Ephedra sinica, $15.00 ,Potted Plants,FS,HP (to zone 5),5 feet,M,http://companionplants.com/catalog/images/thumbs/July%2014%202012%20013.jpg
85,Equisetum arvensis, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 11),10 inches,C M O,http://companionplants.com/catalog/images/thumbs/7-19-09%20043.jpg
86,Equisetum hyemale, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 11),3 feet,M O,http://companionplants.com/catalog/images/thumbs/07-30-14%20020.JPG
87,Eryngium foetidum Seed, $3.50 ,Seeds,PS-FS,TP (hardy to zone 7),8 INCHES,A C M,http://companionplants.com/catalog/images/thumbs/Eryngium%20foetidum.jpg
88,Eucalyptus citriodora, $5.25 ,Potted Plants,PS-FS,TP (zones 9 to 10),to 60 feet,A M O R,http://companionplants.com/catalog/images/thumbs/7-19-12%20042.jpg
89,Eucalyptus globulus, $5.25 ,Potted Plants,PS-FS,TP (zones 9 to 10),to 100 feet,A M O,http://companionplants.com/catalog/images/thumbs/7-19-09%20030.jpg
90,Eupatorium perfoliatum Seed, $3.50 ,Seeds,PS-FS,HP (zones 3-9),5 FEET,M N O,http://companionplants.com/catalog/images/thumbs/Eupatorium%20perfoliatum%20-%20Boneset.jpg
91,Eupatorium purpureum Seed, $3.50 ,Seeds,PS-FS,HP (zones 3-9),10 FEET,M N O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
92,Euphorbia cyparissias, $4.85 ,Potted Plants,FS,HP (zones 4 to 9),12 inches,D O,http://companionplants.com/catalog/images/thumbs/Euphorbia%20cyparissias.jpg
93,Euphorbia lathyrus Seed, $3.50 ,Seeds,FS,B (zones 6-9),3 FEET,O R,http://companionplants.com/catalog/images/thumbs/Euphorbia%20lathyrus.jpg
94,Filipendula vulgaris, $5.00 ,Potted Plants,PS-FS,HP (zones 4 to 9),3 feet,M O,http://companionplants.com/catalog/images/thumbs/July%2014%202012%20005.jpg
95,Ginkgo biloba, $6.00 ,Potted Plants,FS,HP (zones 3 to 9),to 120 feet,M O,http://companionplants.com/catalog/images/thumbs/7-21-12%20017.jpg
96,Glechoma hederacea 'Variegata', $4.85 ,Potted Plants,sh-PS,HP (zones 4 to 9),2 inches,C M O,http://companionplants.com/catalog/images/thumbs/7-21-12%20017.jpg
97,Glechoma hederacea, $4.85 ,Potted Plants,PS-FS,HP (zones 4 to 9),2 inches,C M O,http://companionplants.com/catalog/images/thumbs/7-19-12%20014.jpg
98,Hierochloe odorata, $6.00 ,Potted Plants,FS - PS,HP (zones 4 to 9),18 inches,A L N,http://companionplants.com/catalog/images/thumbs/7-15-09%20018.jpg
99,Houttuynia cordata, $5.00 ,Potted Plants,SH-PS-FS,HP (zones 5 to 11),15 inches,C M O,http://companionplants.com/catalog/images/thumbs/7-19-12%20041.jpg
100,Humulus lupulus var 'Cascade', $6.50 ,Potted Plants,FS,HP (zones 4 to 8),to 30 feet,C H M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
101,Humulus lupulus var 'Willamette', $6.50 ,Potted Plants,FS,HP (zones 4 to 8),to 30 feet,C H M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
102,Hydrocotyle asiatica 'Major', $6.00 ,Potted Plants,PS,TP,6 inches,M,http://companionplants.com/catalog/images/thumbs/08-20-14%20006.JPG
103,Hyoscyamus niger Seed, $3.50 ,Seeds,PS-FS,A-B (zones 6-11),30 INCHES,L M O,http://companionplants.com/catalog/images/thumbs/Hyoscyamus%20niger.jpg
104,Hypericum perforatum, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 8),2 feet,L M,http://companionplants.com/catalog/images/thumbs/7-15-09%20016.jpg
105,Hyssopus officinalis Seed, $3.50 ,Seeds,FS,HP (zones 3-9),2 FEET,C H L M O,http://companionplants.com/catalog/images/plants%20054.jpg
106,Iboza riparia, $5.00 ,Potted Plants,PS-FS,TP,4 feet,A M O R,http://companionplants.com/catalog/images/thumbs/July%2014%202012%20026.jpg
107,Indigofera tinctoria Seed, $3.50 ,Seeds,FS,TP,5 FEET,D L M,http://companionplants.com/catalog/images/thumbs/Indigofera%20tinctoria.jpg
108,Inula helenium Seed, $3.50 ,Seeds,PS-FS,HP (zones 3-9),8 FEET,D M O,http://companionplants.com/catalog/images/thumbs/Inula%20helenium.jpg
109,Iris x germanica var florentina, $6.00 ,Potted Plants,FS,HP ( zones 4 to 10),3 feet,A C O,http://companionplants.com/catalog/images/thumbs/Orris%20Root.jpg
110,Isatis tinctoria Seed, $3.50 ,Seeds,FS,B (zones 3-8),4 FEET,D E L M O,http://companionplants.com/catalog/images/thumbs/Isatis%20tinctoria%202.jpg
111,Laurus nobilis, $12.00 ,Potted Plants,PS-FS,TP (zones 8 to 10),to 40 feet,C L O R,http://companionplants.com/catalog/images/thumbs/7-19-09%20052.jpg
112,Lavandula angustifolia 'Munsted', $5.00 ,Potted Plants,FS,HP (zones 5 to 8),"15""",A B H M O R,http://companionplants.com/catalog/images/thumbs/6-14-09%20022.jpg
113,Lavandula angustifolia, $5.00 ,Potted Plants,FS,HP (zones 5 to 8),2 feet,A B H M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
114,Lavandula dentata 'Linda Ligon', $5.00 ,Potted Plants,FS,TP,3 feet,A M O,http://companionplants.com/catalog/images/thumbs/Linda%20Lignon%20Lavender.jpg
115,Lavandula dentata, $5.00 ,Potted Plants,FS,TP (zones 7 to 10),3 feet to 3 feet,A M O,http://companionplants.com/catalog/images/thumbs/7-19-12%20046.jpg
116,Lavandula stoechas, $5.00 ,Potted Plants,FS,TP (zones 7 to 10),2 feet,A M O,http://companionplants.com/catalog/images/thumbs/Lavandula%20stoechas.jpg
117,Lawsonia inermis, $10.50 ,Potted Plants,FS,TP,to 20 feet,A D M O,http://companionplants.com/catalog/images/thumbs/Lawsonia%20inermis.jpg
118,Leonurus cardiaca Seed, $3.50 ,Seeds,PS-FS,HP (zones 4-8),5 FEET,M O,http://companionplants.com/catalog/images/thumbs/Leonurus%20cardicans.jpg
119,Levisticum officinale Seed, $3.50 ,Seeds,FS,HP (zones 5-8),4 FEET,C M,http://companionplants.com/catalog/images/Photo_Unavail.jpg
120,Lippia graveolens, $5.50 ,Potted Plants,PS-FS,TP,7 feet,C,http://companionplants.com/catalog/images/thumbs/7-19-09%20011.jpg
121,Lobelia inflata, $5.00 ,Potted Plants,PS-FS,A,18 inches,M,http://companionplants.com/catalog/images/thumbs/7-15-09%20003.jpg
122,Lobelia syphilitica, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 9),3 feet,M O,http://companionplants.com/catalog/images/thumbs/Lobelia%20syphilitica.jpg
123,Lycopus virginicus, $5.00 ,Potted Plants,PS - FS,HP (zones 4 to 8),2 feet,M N,http://companionplants.com/catalog/images/thumbs/7-19-12%20024.jpg
124,Lysimachia nummilaria, $4.85 ,Potted Plants,PS-FS,HP (zones 4 to 8),2 inches,M O,http://companionplants.com/catalog/images/thumbs/oct%2019%202013%20002.jpg
125,Marrubium vulgare Seed, $3.50 ,Seeds,FS,HP (zones 3-8),18 INCHES,H M O,http://companionplants.com/catalog/images/Photo_Unavail.jpg
126,Melissa officinalis var, $5.00 ,Potted Plants,PS-FS,HP (zones 3 to 8),30 inches,A C H M O R,http://companionplants.com/catalog/images/thumbs/Melissa%20off.%20Golden.JPG
127,Melissa officinalis Seed, $3.50 ,Seeds,PS-FS,HP (zones 3-7,3 FEET,A C H M O R,http://companionplants.com/catalog/images/thumbs/Melissa%20officinalis.jpg
128,Mentha aquatica 'Citrata', $4.85 ,Potted Plants,PS-FS,HP (zones3 to 9),30 inches,A B C H M R,http://companionplants.com/catalog/images/thumbs/Melissa%20officinalis.jpg
129,Mentha aquatica var, $4.85 ,Potted Plants,PS-FS,HP (zones3 to 9),30 inches,A B C H M O R,http://companionplants.com/catalog/images/Photo_Unavail.jpg
